Episode,Score,Move count,Highest tile,Final grid
32006,15848,930,1024,"[[ 256    2  512   16]
 [  16 1024   16    8]
 [   4  128    8    4]
 [   2   32    4    2]]"
41263,15820,915,1024,"[[   2  512  256   32]
 [1024   32   16    8]
 [ 128    4    8    4]
 [   4    8    4    2]]"
17427,15796,940,1024,"[[   2  512   64   32]
 [1024   64   16    8]
 [ 256   32    8    4]
 [   2    8    4    2]]"
19845,15784,936,1024,"[[   2    8  512    8]
 [   8 1024   64   32]
 [  64  256   32    8]
 [   4   16    2    4]]"
33575,15784,920,1024,"[[   2   32    2   16]
 [   4  512  256    4]
 [1024  128    4   16]
 [   2    4    8    2]]"
39467,15768,914,1024,"[[   2  512   16    8]
 [1024  128    8    2]
 [ 256   32   16    4]
 [   2    8    4    2]]"
22539,15768,910,1024,"[[1024    4  256   16]
 [   4  512   32    8]
 [  16  128   16    4]
 [   2    8    4    2]]"
25636,15748,925,1024,"[[   2  512    2   32]
 [1024   64  256   16]
 [   4   16   32   64]
 [   2    8    4    2]]"
28562,15748,914,1024,"[[   2  512  128    8]
 [1024  256    8    4]
 [  32   16    4    2]
 [   2    4    8    4]]"
40267,15744,920,1024,"[[  16  512    2  256]
 [   8 1024    4    8]
 [   4   16  128   16]
 [   2    4    8    2]]"
32058,15740,924,1024,"[[   2 1024    2  256]
 [  32  512   16    2]
 [  16   64    4   64]
 [   2   32    2    4]]"
25977,15736,908,1024,"[[   4    2    4   16]
 [1024  512  128    8]
 [   4  256   32    4]
 [   2   16    4    2]]"
25924,15736,910,1024,"[[   4  512    2   32]
 [1024    8  256   16]
 [   8  128    8    4]
 [   2    8    4    2]]"
20489,15732,914,1024,"[[   2   16  128   16]
 [1024  256   16    4]
 [   4   16    2  512]
 [   2    8    4    2]]"
35058,15724,918,1024,"[[ 512  256   64   16]
 [1024   64   32    8]
 [   4   32   16    4]
 [   2    8    4    2]]"
34767,15716,921,1024,"[[1024  512  256    2]
 [  64   32   16   64]
 [  32    4    8    4]
 [   2    8    4    2]]"
41227,15708,917,1024,"[[1024    2   16    2]
 [   4  512  256    4]
 [ 128    4    2    8]
 [   2    8   16    4]]"
31674,15700,926,1024,"[[   2  512   64   16]
 [   4  256   32    2]
 [1024   64   16    4]
 [   2   16    4    2]]"
